,EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,RM816,21,18-25,No,Travel_Rarely,984,Research & Development,1,1,Technical Degree,1,1131,4,Female,70,2,1,Research Scientist,2,Single,2070,Up_to_5000,25326,1,Y,Yes,11,3,3,80,0,2,6,4,2,2,2,2.0
37,RM916,21,18-25,Yes,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,1279,1,Female,45,2,1,Laboratory Technician,3,Single,2625,Up_to_5000,25308,1,Y,No,20,4,3,80,0,2,2,1,2,2,2,2.0
38,RM1153,21,18-25,No,Travel_Rarely,546,Research & Development,5,1,Medical,1,1623,3,Male,97,3,1,Research Scientist,4,Single,3117,Up_to_5000,26009,1,Y,No,18,3,3,80,0,3,2,3,2,2,2,2.0
39,RM1272,21,18-25,Yes,Travel_Rarely,337,Sales,7,1,Marketing,1,1780,2,Male,31,3,1,Sales Representative,2,Single,2679,Up_to_5000,4567,1,Y,No,13,3,2,80,0,1,3,3,1,0,1,0.0
40,RM1437,21,18-25,No,Travel_Rarely,501,Sales,5,1,Medical,1,2021,3,Male,58,3,1,Sales Representative,1,Single,2380,Up_to_5000,25479,1,Y,Yes,11,3,4,80,0,2,6,3,2,2,1,2.0
41,RM018,22,18-25,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,Up_to_5000,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0.0
42,RM110,22,18-25,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871,Up_to_5000,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0.0
43,RM129,22,18-25,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169,3,Male,100,3,1,Laboratory Technician,4,Married,2523,Up_to_5000,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1.0
44,RM161,22,18-25,No,Travel_Rarely,1256,Research & Development,19,1,Medical,1,217,3,Male,80,3,1,Research Scientist,4,Married,2323,Up_to_5000,11992,1,Y,No,24,4,1,80,2,2,6,3,2,2,2,2.0
45,RM207,22,18-25,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,1,284,4,Male,60,4,1,Research Scientist,2,Divorced,2328,Up_to_5000,12392,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,2,
46,RM384,22,18-25,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,2244,Up_to_5000,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2.0
47,RM444,22,18-25,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,3,Male,99,2,1,Laboratory Technician,3,Single,3894,Up_to_5000,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2.0
48,RM499,22,18-25,No,Travel_Rarely,604,Research & Development,6,1,Medical,1,675,1,Male,69,3,1,Research Scientist,3,Married,2773,Up_to_5000,12145,0,Y,No,20,4,4,80,0,3,3,3,2,2,2,2.0
49,RM631,22,18-25,No,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,1,872,4,Male,33,2,2,Manufacturing Director,4,Married,4775,Up_to_5000,19146,6,Y,No,22,4,1,80,2,4,2,1,2,2,2,2.0
50,RM667,22,18-25,Yes,Travel_Rarely,617,Research & Development,3,1,Life Sciences,1,926,2,Female,34,3,2,Manufacturing Director,3,Married,4171,Up_to_5000,10022,0,Y,Yes,19,3,1,80,1,4,3,4,3,2,0,2.0
51,RM735,22,18-25,No,Travel_Rarely,217,Research & Development,8,1,Life Sciences,1,1019,2,Male,94,1,1,Laboratory Technician,1,Married,2451,Up_to_5000,6881,1,Y,No,15,3,1,80,1,4,3,2,4,3,1,1.0
52,RM861,22,18-25,Yes,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,1,1203,3,Male,48,2,1,Research Scientist,4,Married,2853,Up_to_5000,4223,0,Y,Yes,11,3,2,80,1,1,5,3,0,0,0,0.0
53,RM1138,22,18-25,No,Non-Travel,457,Research & Development,26,2,Other,1,1605,2,Female,85,2,1,Research Scientist,3,Married,2814,Up_to_5000,10293,1,Y,Yes,14,3,2,80,0,4,2,2,4,2,1,3.0
54,RM1274,22,18-25,Yes,Travel_Rarely,1294,Research & Development,8,1,Medical,1,1783,3,Female,79,3,1,Laboratory Technician,1,Married,2398,Up_to_5000,15999,1,Y,Yes,17,3,3,80,0,1,6,3,1,0,0,0.0
55,RM1340,22,18-25,Yes,Travel_Rarely,391,Research & Development,7,1,Life Sciences,1,1878,4,Male,75,3,1,Research Scientist,2,Single,2472,Up_to_5000,26092,1,Y,Yes,23,4,1,80,0,1,2,3,1,0,0,0.0
56,RM1424,22,18-25,No,Travel_Rarely,581,Research & Development,1,2,Life Sciences,1,2007,4,Male,63,3,1,Research Scientist,3,Single,3375,Up_to_5000,17624,0,Y,No,12,3,4,80,0,4,2,4,3,2,1,2.0
57,RM087,23,18-25,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,Up_to_5000,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0.0
58,RM346,23,18-25,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904,Up_to_5000,16092,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2.0
59,RM517,23,18-25,No,Travel_Rarely,885,Research & Development,4,3,Medical,1,705,1,Male,58,4,1,Research Scientist,1,Married,2819,Up_to_5000,8544,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2.0
60,RM551,23,18-25,No,Travel_Rarely,650,Research & Development,9,1,Medical,1,758,2,Male,37,3,1,Laboratory Technician,1,Married,2500,Up_to_5000,4344,1,Y,No,14,3,4,80,1,5,2,4,4,3,0,2.0
61,RM566,23,18-25,No,Travel_Rarely,310,Research & Development,10,1,Medical,1,784,1,Male,79,4,1,Research Scientist,3,Single,3505,Up_to_5000,19630,1,Y,No,18,3,4,80,0,2,3,3,2,2,0,2.0
62,RM586,23,18-25,Yes,Travel_Rarely,1243,Research & Development,6,3,Life Sciences,1,811,3,Male,63,4,1,Laboratory Technician,1,Married,1601,Up_to_5000,3445,1,Y,Yes,21,4,3,80,2,1,2,3,0,0,0,0.0
63,RM911,23,18-25,No,Travel_Rarely,373,Research & Development,1,2,Life Sciences,1,1270,4,Male,47,3,1,Research Scientist,3,Married,1223,Up_to_5000,16901,1,Y,No,22,4,4,80,1,1,2,3,1,0,0,1.0
64,RM1083,23,18-25,No,Travel_Rarely,507,Research & Development,20,1,Life Sciences,1,1533,1,Male,97,3,2,Laboratory Technician,3,Single,2272,Up_to_5000,24812,0,Y,No,14,3,2,80,0,5,2,3,4,3,1,2.0
65,RM1128,23,18-25,No,Travel_Rarely,977,Research & Development,10,3,Technical Degree,1,1592,4,Male,45,4,1,Research Scientist,3,Married,2073,Up_to_5000,12826,2,Y,No,16,3,4,80,1,4,2,3,2,2,2,2.0
66,RM1202,23,18-25,Yes,Travel_Rarely,1320,Research & Development,8,1,Medical,1,1684,4,Male,93,2,1,Laboratory Technician,3,Single,3989,Up_to_5000,20586,1,Y,Yes,11,3,1,80,0,5,2,3,5,4,1,2.0
67,RM1214,23,18-25,Yes,Travel_Rarely,427,Sales,7,3,Life Sciences,1,1702,3,Male,99,3,1,Sales Representative,4,Divorced,2275,Up_to_5000,25103,1,Y,Yes,21,4,2,80,1,3,2,3,3,2,0,2.0
68,RM1239,23,18-25,No,Travel_Rarely,160,Research & Development,4,1,Medical,1,1735,3,Female,51,3,1,Laboratory Technician,2,Single,3295,Up_to_5000,12862,1,Y,No,13,3,3,80,0,3,3,1,3,2,1,2.0
69,RM1409,23,18-25,No,Travel_Rarely,571,Research & Development,12,2,Other,1,1982,4,Male,78,3,1,Laboratory Technician,4,Single,2647,Up_to_5000,13672,1,Y,No,13,3,3,80,0,5,6,4,5,2,1,4.0
70,RM1439,23,18-25,Yes,Travel_Frequently,638,Sales,9,3,Marketing,1,2023,4,Male,33,3,1,Sales Representative,1,Married,1790,Up_to_5000,26956,1,Y,No,19,3,1,80,1,1,3,2,1,0,1,0.0
71,RM021,24,18-25,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,Up_to_5000,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3.0
72,RM035,24,18-25,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,Up_to_5000,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0.0
73,RM097,24,18-25,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999,Up_to_5000,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2.0
74,RM114,24,18-25,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774,Up_to_5000,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2.0
75,RM381,24,18-25,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260,Up_to_5000,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3.0
76,RM415,24,18-25,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,62,3,1,Sales Representative,2,Single,3202,Up_to_5000,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4.0
77,RM471,24,18-25,No,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,38,3,1,Sales Representative,4,Married,2400,Up_to_5000,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1.0
78,RM475,24,18-25,No,Travel_Rarely,691,Research & Development,23,3,Medical,1,639,2,Male,89,4,1,Research Scientist,4,Married,2725,Up_to_5000,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4.0
79,RM477,24,18-25,No,Travel_Rarely,823,Research & Development,17,2,Other,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,2127,Up_to_5000,9100,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0.0
80,RM480,24,18-25,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,647,1,Female,55,3,1,Laboratory Technician,3,Married,2886,Up_to_5000,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2.0
81,RM526,24,18-25,Yes,Travel_Rarely,693,Sales,3,2,Life Sciences,1,720,1,Female,65,3,2,Sales Executive,3,Single,4577,Up_to_5000,24785,9,Y,No,14,3,1,80,0,4,3,3,2,2,2,0.0
82,RM587,24,18-25,No,Non-Travel,1092,Research & Development,9,3,Life Sciences,1,812,3,Male,60,2,1,Laboratory Technician,2,Divorced,2694,Up_to_5000,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0.0
83,RM641,24,18-25,No,Non-Travel,1269,Research & Development,4,1,Life Sciences,1,888,1,Male,46,2,1,Laboratory Technician,4,Married,3162,Up_to_5000,10778,0,Y,No,17,3,4,80,0,6,2,2,5,2,3,4.0
84,RM725,24,18-25,No,Travel_Rarely,1206,Research & Development,17,1,Medical,1,1009,4,Female,41,2,2,Manufacturing Director,3,Divorced,4377,Up_to_5000,24117,1,Y,No,15,3,2,80,2,5,6,3,4,2,3,2.0
85,RM842,24,18-25,No,Travel_Rarely,477,Research & Development,24,3,Medical,1,1173,4,Male,49,3,1,Laboratory Technician,2,Single,3597,Up_to_5000,6409,8,Y,No,22,4,4,80,0,6,2,3,4,3,1,2.0
86,RM872,24,18-25,Yes,Travel_Rarely,984,Research & Development,17,2,Life Sciences,1,1219,4,Female,97,3,1,Laboratory Technician,2,Married,2210,Up_to_5000,3372,1,Y,No,13,3,1,80,1,1,3,1,1,0,0,0.0
87,RM1026,24,18-25,No,Travel_Rarely,1476,Sales,4,1,Medical,1,1445,4,Female,42,3,2,Sales Executive,3,Married,4162,Up_to_5000,15211,1,Y,Yes,12,3,3,80,2,5,3,3,5,4,0,3.0
88,RM1061,24,18-25,Yes,Travel_Frequently,381,Research & Development,9,3,Medical,1,1494,2,Male,89,3,1,Laboratory Technician,1,Single,3172,Up_to_5000,16998,2,Y,Yes,11,3,3,80,0,4,2,2,0,0,0,0.0
89,RM1062,24,18-25,No,Non-Travel,830,Sales,13,2,Life Sciences,1,1495,4,Female,78,3,1,Sales Representative,2,Married,2033,Up_to_5000,7103,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0.0
90,RM1098,24,18-25,No,Travel_Rarely,350,Research & Development,21,2,Technical Degree,1,1551,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296,Up_to_5000,10036,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0.0
91,RM1169,24,18-25,No,Travel_Frequently,567,Research & Development,2,1,Technical Degree,1,1646,1,Female,32,3,1,Research Scientist,4,Single,3760,Up_to_5000,17218,1,Y,Yes,13,3,3,80,0,6,2,3,6,3,1,3.0
92,RM1218,24,18-25,No,Travel_Rarely,581,Research & Development,9,3,Medical,1,1707,3,Male,62,4,1,Research Scientist,3,Married,4401,Up_to_5000,17616,1,Y,No,16,3,4,80,1,5,1,3,5,3,0,4.0
93,RM1223,24,18-25,Yes,Travel_Rarely,240,Human Resources,22,1,Human Resources,1,1714,4,Male,58,1,1,Human Resources,3,Married,1555,Up_to_5000,11585,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0.0
94,RM1231,24,18-25,No,Travel_Rarely,506,Research & Development,29,1,Medical,1,1725,2,Male,91,3,1,Laboratory Technician,1,Divorced,3907,Up_to_5000,3622,1,Y,No,13,3,2,80,3,6,2,4,6,2,1,2.0
95,RM1246,24,18-25,No,Travel_Frequently,897,Human Resources,10,3,Medical,1,1746,1,Male,59,3,1,Human Resources,4,Married,2145,Up_to_5000,2097,0,Y,No,14,3,4,80,1,3,2,3,2,2,2,1.0
96,RM1408,24,18-25,No,Travel_Rarely,771,Research & Development,1,2,Life Sciences,1,1981,2,Male,45,2,2,Healthcare Representative,3,Single,4617,Up_to_5000,14120,1,Y,No,12,3,2,80,0,4,2,2,4,3,1,2.0
97,RM108,25,18-25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,5744,5001_to_10000,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3.0
98,RM109,25,18-25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,2889,Up_to_5000,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1.0
99,RM139,25,18-25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,1,Male,41,2,2,Sales Executive,3,Married,8639,5001_to_10000,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,
100,RM256,25,18-25,No,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,350,1,Female,62,3,2,Manufacturing Director,3,Married,4898,Up_to_5000,7505,0,Y,No,12,3,4,80,2,5,3,3,4,2,1,
101,RM268,25,18-25,No,Non-Travel,675,Research & Development,5,2,Life Sciences,1,369,2,Male,85,4,2,Healthcare Representative,1,Divorced,4000,Up_to_5000,18384,1,Y,No,12,3,4,80,2,6,2,3,6,3,1,5.0
102,RM398,25,18-25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,99,2,2,Sales Executive,4,Single,4487,Up_to_5000,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3.0
103,RM406,25,18-25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,Male,91,3,1,Laboratory Technician,1,Married,4031,Up_to_5000,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,
104,RM479,25,18-25,No,Travel_Rarely,622,Sales,13,1,Medical,1,645,2,Male,40,3,1,Sales Representative,3,Married,2096,Up_to_5000,26376,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6.0
105,RM518,25,18-25,No,Travel_Rarely,810,Sales,8,3,Life Sciences,1,707,4,Male,57,4,2,Sales Executive,2,Married,4851,Up_to_5000,15678,0,Y,No,22,4,3,80,1,4,4,3,3,2,1,2.0
106,RM564,25,18-25,No,Travel_Rarely,883,Sales,26,1,Medical,1,781,3,Female,32,3,2,Sales Executive,4,Single,6180,5001_to_10000,22807,1,Y,No,23,4,2,80,0,6,5,2,6,5,1,4.0
107,RM619,25,18-25,No,Travel_Rarely,180,Research & Development,2,1,Medical,1,854,1,Male,65,4,1,Research Scientist,1,Single,3424,Up_to_5000,21632,7,Y,No,13,3,3,80,0,6,3,2,4,3,0,1.0
108,RM635,25,18-25,No,Travel_Rarely,141,Sales,3,1,Other,1,879,3,Male,98,3,2,Sales Executive,1,Married,4194,Up_to_5000,14363,1,Y,Yes,18,3,4,80,0,5,3,3,5,3,0,3.0
109,RM639,25,18-25,No,Travel_Rarely,583,Sales,4,1,Marketing,1,885,3,Male,87,2,2,Sales Executive,1,Married,4256,Up_to_5000,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3.0
110,RM684,25,18-25,Yes,Travel_Rarely,867,Sales,19,2,Marketing,1,952,3,Male,36,2,1,Sales Representative,2,Married,2413,Up_to_5000,18798,1,Y,Yes,18,3,3,80,3,1,2,3,1,0,0,0.0
111,RM797,25,18-25,Yes,Travel_Rarely,1219,Research & Development,4,1,Technical Degree,1,1106,4,Male,32,3,1,Laboratory Technician,4,Married,3691,Up_to_5000,4605,1,Y,Yes,15,3,2,80,1,7,3,4,7,7,5,6.0
112,RM886,25,18-25,No,Travel_Rarely,1356,Sales,10,4,Life Sciences,1,1240,3,Male,57,3,2,Sales Executive,4,Single,4950,Up_to_5000,20623,0,Y,No,14,3,2,80,0,5,4,3,4,3,1,1.0
113,RM912,25,18-25,Yes,Travel_Frequently,599,Sales,24,1,Life Sciences,1,1273,3,Male,73,1,1,Sales Representative,4,Single,1118,Up_to_5000,8040,1,Y,Yes,14,3,4,80,0,1,4,3,1,0,1,0.0
